# Model:              Mantle-stripped_Asteroid_11_2_18.mph
# Version:            COMSOL 5.3.0.260
# Date:               Jan 15 2018, 11:00
# Table:              Probe Table 2 
# Time (s)               Top Temperature          Melting Degree           Temperature P(0.5,0.5)      Rayleigh number       Bottom Temperature       Dynamic Viscosity[Pa s]  Nu = 0.006*Ra^(0.3)      Nu=0.385*Ra^(0.233)      Reynolds number
0                        0.96680726491315         1.0333747401399456       0.9837972131064231       9.695906238232512E21     0.9999320045775795       0.006335009954992189     1188825.4941613977       43891.05935870982        1.2996627368053896E10
0.004008016032064128     0.9416869542792978       1.03337339815053         0.9837967919781321       2.403020416156198E22     0.997689243446221        0.006335337577384343     1603961.3443967265       54079.78364201104        1.9730969801091076E10
0.008016032064128256     0.9308556102010146       1.0336700155925385       0.9838930083544333       3.0614008285851753E22    0.9967285576832776       0.006263335413188907     1737391.130287005        57177.13292918436        2.205582411874932E10
0.012024048096192383     0.9816148816178327       1.0686150496870337       0.9951509051284174       2.9958396666793372E22    0.9923730506103958       0.0016334888990546372    1725023.6856456664       56893.152603993934       2.1837279900295784E10
0.01603206412825651      0.9730894298159123       1.0233407695724837       0.9806143831218874       2.9166052880362997E21    0.9787319871688112       0.009327597657920248     799748.737128607         33295.27383316127        7.479003269523993E9
0.02004008016032064      0.9686300364495124       1.0044106521921303       0.9744334428321693       1.0827928075617156E21    0.9730789183212305       0.019376765121145542     576691.9711611475        26509.78239437944        4.741228285359081E9
0.024048096192384766     0.966362324124522        0.9959903453427339       0.9716610144345437       7.138017164076766E20     0.9705894934935033       0.026837039384471174     502602.3785625295        24087.04781394161        3.9142241348700233E9
0.028056112224448895     0.9647133515405638       0.9905922819564422       0.9699150322642897       5.68588302986596E20      0.9687676670296874       0.03307420584383308      466259.0232051475        22859.36969573322        3.5253889889438777E9
0.03206412825651302      0.9629880133596482       0.984838080004435        0.968060707745087        4.436983994218241E20     0.9671747861316393       0.04133276799308589      429618.4560527013        21591.90385840617        3.1452879894124155E9
0.03607214428857715      0.9612143812551975       0.9789720291866418       0.9661561192565935       3.443302584971843E20     0.9655048600487994       0.05188575994993117      395135.2254160495        20368.78025474996        2.799036660929612E9
0.04008016032064128      0.9594565983335086       0.9732218137757437       0.9642896443218565       2.6943051522560062E20    0.9636855409270642       0.0648511676862656       364410.9123067191        19251.451931521275       2.500377139292793E9
0.044088176352705406     0.9576809684922247       0.9674483138869208       0.962417279197255        2.110270117814733E20     0.96188560609283         0.08114201524044996      336182.8013656251        18199.45910718742        2.234577917316155E9
0.04809619238476953      0.9559132741716078       0.9616453445850668       0.9605357146890972       1.643907105172575E20     0.9600221738216528       0.10165709921025826      309587.5130614381        17183.534618788555       1.9920651846524184E9
0.052104208416833664     0.9541330066462952       0.9558050756315045       0.9586417796355949       1.2778350619902181E20    0.9581957263656788       0.12756373407286134      284892.23983105033       16216.231423773095       1.7741012756914554E9
0.05611222444889779      0.9523598166654981       0.9499904090676702       0.9567561432095473       9.937577205270785E19     0.9563631489920241       0.1599385230917113       262208.34280878          15305.067458282436       1.5803345582902746E9
0.06012024048096192      0.9506022021768944       0.9442313429003557       0.9548887179780714       7.743558396773058E19     0.9545248926044383       0.20012783875874166      241487.31691674332       14451.63760249035        1.4090054268423882E9
0.06412825651302605      0.9488055419677703       0.9384757900562198       0.9530222775219893       6.087649791212907E19     0.9527145986602403       0.25042077743558966      223055.18524431577       13673.640309380444       1.26138262310888E9
0.06813627254509018      0.9470660402706927       0.9328176786595934       0.9511877399437227       4.772749720577236E19     0.9508386497184398       0.3122132550276101       205843.70663745914       12929.374693912134       1.1278038790728652E9
0.0721442885771543       0.9453298419247362       0.9271108147220577       0.9493370716126154       3.714181614247248E19     0.9490055170734806       0.39005401670916495      189495.442949988         12204.760199001088       1.0049328488117461E9
0.07615230460921843      0.9435518295271307       0.9213793781459054       0.9474780725714191       2.909632446955053E19     0.9471713739908423       0.4878459490534039       174827.81058442037       11538.344450507693       8.981844672529039E8
0.08016032064128256      0.9417902635420454       0.9156496238991411       0.9456192230688313       2.2685246529412456E19    0.9453221095719515       0.6102122567801402       161042.0504873136        10896.367326058733       8.010175132696936E8
0.08416833667334668      0.9400311768581641       0.9099933110561825       0.9437836950166392       1.7822363036126851E19    0.9434946389943164       0.7612041911121393       148717.63824622377       10308.197842522952       7.168759842172024E8
0.08817635270541081      0.9382697099233359       0.9044055359443984       0.9419698020040103       1.4123152861518737E19    0.9416686240300423       0.9471625684806106       137727.72798755526       9771.134946338556        6.441226388231307E8
0.09218436873747494      0.9364934362930668       0.8989307927482443       0.9401916799831781       1.1393230545227577E19    0.939846658503154        1.1735248585072136       128303.1762343632        9300.140576292779        5.835224472174559E8
0.09619238476953906      0.9347076574838881       0.893604106663862        0.9384607005312583       9.384742311256775E18     0.9380264559337699       1.4457887725023362       120349.2288270242        8894.424858960812        5.337209888460115E8
0.1002004008016032       0.932905125516567        0.888465470197151        0.9367901728964422       7.9426152367265731E18    0.9362095593091526       1.76838348028006         113902.14392006048       8559.577730456183        4.942915899728211E8
0.10420841683366733      0.9310808341015367       0.8835290599141482       0.9351856296283334       6.9147358828400906E18    0.934398002511365        2.1461475962597842       108810.26859150972       8291.042028727079        4.637637235427143E8
0.10821643286573146      0.9292309457185222       0.8787456822539922       0.9336320146835411       6.1449040108829891E18    0.9325904029321801       2.5893259573200993       104653.53910140168       8068.990483110152        4.392552364076384E8
0.11222444889779558      0.927350592181681        0.8740981149782753       0.9321244161673057       5.5534509389211167E18    0.9307881617898872       3.107757454732423        101216.12476703411       7883.339055636981        4.1927498509786725E8
