# Model:              Mantle-stripped_Asteroid_11_2_18.mph
# Version:            COMSOL 5.3.0.260
# Date:               Jan 15 2018, 14:33
# Table:              Probe Table 2 - 
# Time (s)               Top Temperature          Melting Degree           Temperature P(0.5,0.5)   Rayleigh number          Bottom Temperature       Dynamic Viscosity [Pa s]  Nu = 0.006*Ra^(0.3)        Nu=0.385*Ra^(0.233)     Reynolds number
0                        0.9431208369699839       1.0333747412831964       0.9837972133980235       2.321339328680298E22     0.999932004577559        0.006335009675895467     1585760.819528125        53651.34504733497        1.94195771657156E10
0.004008016032064128     0.8521234263671805       0.9144453703037806       0.9476147793021046       5.39745847170556E20      0.9977689614738445       0.6396146334135043       458317.4655988473        22587.297430280094       3.441970013182242E9
0.008016032064128256     0.7879214634261164       0.745926065400881        0.8904170766604649       7.4295668492303872E17    0.8603797506972326       498.75290430657725       52114.89760440037        4963.434936703813        1.6620466433389765E8
0.012024048096192383     0.6542889243982728       0.6392424378516203       0.8558864159087405       1.9844292833160968E16    0.8507247883203555       36727.65083138741        15767.530962464252       2157.3316933631336       3.1398752134856094E7
0.01603206412825651      0.5623697479060416       0.5157957989027607       0.8168310833765888       1.576133631066519E14     0.8144686860962336       5836767.852630649        3197.0515383855163       709.4260436914575        3395414.481144974
0.02004008016032064      0.46755942992533095      0.5094489763193636       0.8140500614422177       1.6489259061856888E14    0.7828805841304691       7596858.01484786         3245.0419251407316       716.8313523595805        3466670.1819913303
0.024048096192384766     0.3989876039630906       0.3924387107571677       0.7755334471243478       1.3126520659387632E12    0.762996595681388        1.0370791078104781E9     658.4659351839837        235.84959976337507       375274.30398747994
0.028056112224448895     0.3582184735294876       0.3298954675502792       0.7556475778369803       9.535591779670415E10     0.7515983906505506       1.5068002083189543E10    277.1587922827788        129.0359397712891        112331.07608473435
0.03206412825651302      0.327470226053231        0.3120780249294725       0.7498450580882208       4.696583012943062E10     0.7427588711185382       3.2513197586241425E10    219.39766265501248       109.64039467054744       81099.78845345526
0.03607214428857715      0.306341912230568        0.28014872017798353      0.7394981623365114       1.2045018441761179E10    0.7335465086230846       1.3001120101786572E11    140.02655376748305       80.17638067876422        43368.203870778314
0.04008016032064128      0.28948994059382427      0.2557627508035627       0.7316119618514718       4.236160057629046E9      0.7274211056074464       3.7732314013698535E11    99.18472982574814        63.04699221968389        26816.82056298789
0.044088176352705406     0.2746576174995278       0.2405353734957547       0.7266703205931291       2.2195692770705676E9     0.7229602286185011       7.362504777068491E11     80.13322253241368        54.33786013735066        19919.73718540248
0.04809619238476953      0.261563232180392        0.22646543590957705      0.7221044377531127       1.2167025099682558E9     0.7193624594946115       1.3684462497167686E12    65.7135287290463         47.32091596333727        15107.229466076762
0.052104208416833664     0.2502936853984109       0.2140768862406863       0.7180708979492164       7.147397500059282E8      0.7160956187648859       2.3661091766897905E12    55.133143404437796       41.87113705412162        11827.911069016944
0.05611222444889779      0.2406035692604916       0.20435372022031786      0.7149239135587493       4.7099985538635445E8     0.7128066690713544       3.640781644859298E12     48.04418060657533        38.04131380886935        9763.140875728612
0.06012024048096192      0.2324615936253999       0.19427639019437393      0.7116678044265341       3.040939090251549E8      0.7100976032984394       5.697159403825848E12     41.58497872062498        34.39952972773437        7983.320259667938
0.06412825651302605      0.22551528409086266      0.18223342380319754      0.7076765917312047       1.7890544466892126E8     0.7077621519013007       9.74344308736941E12      34.906773628694914       30.448376968344533       6254.705076784712
0.06813627254509018      0.21933884283537503      0.18361919663866733      0.7082010104772622       1.9296201920369622E8     0.7055686757422979       9.15921488741003E12      35.789006379045794       30.982699267242168       6476.152159786597
0.0721442885771543       0.21383140154970398      0.17581235950014112      0.705666933422954        1.3699168379804474E8     0.7037423053031302       1.297984035526025E13     31.96340390407077        28.63521157910923        5531.963853468385
0.07615230460921843      0.20900445134362475      0.15612790113901212      0.6992462667251063       5.6510764245494254E7     0.6987705326985227       3.136337749528142E13     23.86421896218921        23.35882005386027        3681.123118965254
0.08016032064128256      0.20477558322142264      0.14318500830211225      0.6950021273605571       3.1556601012957525E7     0.6987422693856944       5.616299489338002E13     19.689908944614167       20.429205630251193       2815.6683601490095
0.08416833667334668      0.2010247253292988       0.13758696422045835      0.6932320440461803       2.461092315244834E7      0.69801505634838         7.23042485454071E13      18.13911707923965        19.293905520077764       2511.4170363817652
0.08817635270541081      0.1976498069692866       0.11221000995996326      0.6849982777291617       7715183.00253322         0.6939343090555687       2.2836893677513562E14    12.369957060231668       14.775778185752937       1472.9203642743962
0.09218436873747494      0.19458923674089915      0.08080590295865459      0.6748088214687636       1810875.728730446        0.6921928570011013       9.587268142513869E14     7.66738356027206         10.587053763303077       756.1862532438511
0.09619238476953906      0.19180472342218957      0.05415535838981616      0.6661623005022729       524000.3281671272        0.6913535973784828       3.272788476457327E15     5.0924098558356965       7.959888569152803        427.45708236349776
0.1002004008016032       0.1892583774087664       0.030981450531209827     0.6586551812781647       176859.87372596955       0.6902712221163094       9.595209726856662E15     3.5584560643873577       6.200339513915088        259.36387308360116
0.10420841683366733      0.18691338439646923      0.007110442605664457     0.6509185852119832       57269.13602031385        0.6887197666185894       2.9291787261877972E16    2.4527751857454136       4.783904206489565        154.39864703571297
0.10821643286573146      0.18474083646156206      0                        0.6433662083281759       0                        0.6867212974307555       5.2280663114307448E16    0                        0                        0
0.11222444889779558      0.1827200115049593       0                        0.6360372394483256       0                        0.6854666234238822       7.4144917816230816E16    0                        0                        0
0.11623246492985971      0.1808350867326247       0                        0.6288616605097324       0                        0.6842823555714685       1.05215746874035488E17   0                        0                        0
