# Model:              Mantle-stripped_Asteroid_11_2_18.mph
# Version:            COMSOL 5.3.0.260
# Date:               Jan 15 2018, 10:49
# Table:              Probe Table 2 
# Time (s)               Top Temperature          Melting Degree           Temperature P(0.5,0.5)   Rayleigh number          Bottom Temperature       Dynamic Viscosity [Pa s]  Nu = 0.006*Ra^(0.3)        Nu=0.385*Ra^(0.233)     Reynolds number
0                        0.9651770146707743       1.0333747401397613       0.9837972131063624       1.0626265372542187E22    0.9999320045776332       0.006335009955037186     1225320.085386819        44825.82390733719        1.3556110568201061E10
0.004008016032064128     0.8885806697130398       1.033375417209927        0.9837974465484149       5.434019093806994E22     0.9976869320248198       0.006334844667077202     2099587.209261165        65243.70213685901        2.8718101997120457E10
0.008016032064128256     0.9435903475869124       1.0672144820070708       0.9947901788379996       1.0738538683740656E23    0.996880398256456        0.0017237210999973983    2628789.714784115        76309.41466249245        3.9285726200925735E10
0.012024048096192383     0.9350028962811727       0.9850350305095178       0.9682391384358662       2.929378719911547E21     0.9634645950095717       0.04101852566053039      800902.8847155012        33328.75567646644        7.494052656040439E9
0.01603206412825651      0.9415441713285282       0.9761910960789667       0.9651790271613852       1.47845561747109E21      0.9563536640236916       0.05779474075579876      639117.4447691006        28478.468911536966       5.471568166944695E9
0.02004008016032064      0.9357951559729714       0.9453910773570733       0.9550923585036527       3.647041784831932E20     0.9505169435393981       0.191292203570161        402702.54980817414       20639.876745934682       2.8740395485739594E9
0.024048096192384766     0.930973438778258        0.9281281683548845       0.9497274033174681       1.808634308759052E20     0.9458733742060854       0.37487456928698587      319499.13592396706       17565.131499333485       2.0815236605759983E9
0.028056112224448895     0.9280405996219399       0.9159032767629873       0.94573281430323         1.0586424320017678E20    0.9410082290408865       0.6041942078494795       267738.7328374498        15529.342479502171       1.6269892247979126E9
0.03206412825651302      0.9228304092057177       0.8971668815907791       0.9396376001553962       4.832226221189484E19     0.9359907548670874       1.2574523323805067       206686.69965559038       12966.256205853806       1.1342472592062225E9
0.03607214428857715      0.9170231805868763       0.8813475259026897       0.9344925220544762       2.7013762445781783E19    0.9307878140173107       2.337949422327859        170595.2799021843        11342.931178866409       8.680188074110286E8
0.04008016032064128      0.9114945123970264       0.864637371481137        0.929072996699152        1.4098917549444248E19    0.9255178600430851       4.507537089116655        137649.6907108821        9767.275927304509        6.436139587795724E8
0.044088176352705406     0.9057745733792184       0.84803767369308         0.9236909174859141       7.4751478766871091E18    0.9201617556589727       8.665093648762808        111644.79117926497       8440.987961098466        4.8069001692973006E8
0.04809619238476953      0.8996401588641862       0.8316210942013943       0.9183653353292314       4.0877156082522619E18    0.9147588356521967       16.561089341148957       91481.34848840731        7346.851884336674        3.641506669615876E8
0.052104208416833664     0.893426583335482        0.8154936022074933       0.9131329343735322       2.27350239609238528E18   0.9094219024827248       31.33678606832346        75379.52959373422        6419.4921961841          2.7802246622950613E8
0.05611222444889779      0.8869551191251099       0.7997610009356391       0.9080298246081255       1.30340776066404019E18   0.9042040199252561       58.455430841502434       62736.52154467267        5648.448833969761        2.1524691671428126E8
0.06012024048096192      0.8804120503900679       0.7840394684089292       0.9029310928256251       7.4593377161749005E17    0.8990342395399125       109.14235074778763       52183.71872472018        4968.002338556977        1.6651069142120147E8
0.06412825651302605      0.8743801751398699       0.7681422798502505       0.8977756191606112       4.1159965518413971E17    0.8938871403370621       205.49437763170874       42886.50806858069        4333.012880401236        1.2666554644441228E8
0.06813627254509018      0.8691618563361113       0.7521982560558427       0.8926049945617388       2.18332327818609568E17   0.8887503489630215       388.18733079270726       34789.8767715637         3745.052238392898        9.462247440237243E7
0.0721442885771543       0.8645753656063091       0.7362915829020771       0.8874465783349899       1.12761914114827408E17   0.8836632511711295       733.2809595538705        27974.191304479646       3217.052071998505        6.982239186338253E7
0.07615230460921843      0.8607004729748092       0.7205651463632908       0.8823464854854527       5.6822172546205088E16    0.8785690109234492       1377.2212806182424       22311.810924037036       2747.893086711038        5.0942259510840386E7
0.08016032064128256      0.8569069748478946       0.7049188638107441       0.8772724401246583       2.851408296262534E16     0.8735005796186108       2582.1328445521394       17771.068482237843       2344.9003612759384       3.709602094324187E7
0.08416833667334668      0.8529985483318547       0.689325066945714        0.8722154569057962       1.4359738299504618E16    0.8684833714374975       4838.164750751154        14171.058433830438       2002.6471194775554       2.7057483455231912E7
0.08817635270541081      0.8489903976396854       0.6738067910451122       0.8671828841511198       7.266501571657556E15     0.8635402665273564       9051.287170024427        11318.302793544113       1712.2436529967038       1.9779243226361923E7
0.09218436873747494      0.8448328997342052       0.658439645876932        0.8621990690743038       3.7248470612952145E15    0.858612988453801        16855.406858139893       9078.408539549231        1468.3029523114392       1.454487137639729E7
0.09619238476953906      0.8405426451750392       0.6432098955329494       0.8572595175904203       1.9332901894738865E15    0.8536832829628036       31260.91135866159        7311.760561292867        1262.7257891999284       1.0757135562223524E7
