# Model:              Mantle-stripped_Asteroid_11_2_18.mph
# Version:            COMSOL 5.3.0.260
# Date:               Jan 15 2018, 14:03
# Table:              Probe Table 2
# Time (s)                                        Top Temperature                                   Melting Degree                                    Temperature P(0.5,0.5)                             Rayleigh number                                  Bottom Temperature                                Dynamic Viscosity[Pa s]                           Nu = 0.006*Ra^(0.3)                               Nu=0.385*Ra^(0.233)                               Reynolds number
0                                                 0.9663999323198897                                1.0333747401403548                                0.9837972131065567                                9.928364783194237E21                              0.9999320045775177                                0.006335009954892277                              1198156.6014937405                                44130.881899432374                                1.3139043597379982E10
0.004008016032064128                              0.9277908405888615                                1.0333733226490187                                0.9837967656518809                                3.195998776864112E22                              0.9976884767030141                                0.006335356010214739                              1762236.1865861223                                57745.77954551454                                 2.249671145433742E10
0.008016032064128256                              0.9541087164870874                                1.0366979134806784                                0.9848751572694653                                1.995628662678335E22                              0.996733341800154                                 0.005573669064547614                              1508586.6056923773                                51817.81165146054                                 1.811493070903181E10
0.01603206412825651                               0.967044830361977                                 0.9925854367691523                                0.9703801979889649                                3.9383510085019625E20                             0.9660526383067907                                0.030617726763523128                              413045.30905718694                                21007.91957780041                                 2.977451070921435E9
0.02004008016032064                               0.9614735679903594                                0.9900583496574038                                0.9695973023545865                                8.69821484466065E20                               0.9656018061871661                                0.03376519310443649                               536482.8936930625                                 25207.493247124745                                4.286845780427321E9
0.024048096192384766                              0.9569491401364979                                0.9795943300389898                                0.9662383339531531                                6.630602808009931E20                              0.9632475450396663                                0.05064874228660926                               490519.67280804715                                23681.97523086659                                 3.7836798841988773E9
0.028056112224448895                              0.9533998172540037                                0.9684079703424152                                0.9627031981464313                                4.3025000507237446E20                             0.9610577527376885                                0.07817422275457366                               425276.9330586798                                 21439.59281321892                                 3.1010702647773876E9
0.03206412825651302                               0.9503744938539447                                0.9626496220120835                                0.9608781819424366                                3.884132448650346E20                              0.9592987661366563                                0.0977668088830329                                411160.10257990303                                20941.045316765863                                2.9585250730905147E9
0.03607214428857715                               0.9482264453698718                                0.9541369662799715                                0.9580390100562689                                2.6063154575844468E20                             0.9577877202957381                                0.13611287494724847                               360439.8820182599                                 19104.995285407113                                2.462478292160081E9
0.04008016032064128                               0.9438288709295992                                0.9379496547028089                                0.9528380317743137                                1.2742479920479624E20                             0.9556502323264466                                0.25560776147200504                               284628.0789777507                                 16205.750182871                                   1.771808662436319E9
0.044088176352705406                              0.9341165176801374                                0.925980279184046                                 0.948980766781294                                 1.318265039718389E20                              0.954202527235543                                 0.4076466655139898                                287835.8192497839                                 16332.82686972144                                 1.7997047296764693E9
0.04809619238476953                               0.9323927940065216                                0.9238468181472271                                0.9484032707424563                                1.3064749398059934E20                             0.9511066211330659                                0.4430439744378583                                286983.7413912182                                 16299.113303268585                                1.7922826410712562E9
0.052104208416833664                              0.9337183195364205                                0.9314962627586981                                0.9507952809244999                                1.878124339983863E20                              0.9442096394087491                                0.32872286212946483                               323499.0190514649                                 17718.107321609103                                2.1179377774333484E9
0.05611222444889779                               0.9324589958124436                                0.9300870873190812                                0.9503100840276608                                1.8582735479967446E20                             0.941199341673971                                 0.3472951396641043                                322366.65908205986                                17674.85858907078                                 2.1076109033135371E9
0.06012024048096192                               0.9311312189320513                                0.9242370850785159                                0.9483872065466441                                1.429725018299033E20                              0.9395707281173413                                0.4363459584317772                                295649.57980716403                                16640.593373121388                                1.868168985053611E9
0.06412825651302605                               0.9292490834929354                                0.9130762658136323                                0.9447265671783225                                8.292524073466814E19                              0.9371860453743597                                0.6747723342155685                                247007.73883274558                                14681.10280804976                                 1.4541054455086963E9
0.06813627254509018                               0.9257867815306908                                0.8945260650078978                                0.938633457556851                                 3.330561301463797E19                              0.9325283426897373                                1.394495106576655                                 182799.36718664286                                11902.542442506952                                9.557801760545075E8
0.0721442885771543                                0.9222309968270666                                0.8703188636371062                                0.9308772918786794                                8.6704088625563095E18                             0.9292023525055502                                3.605239562472031                                 117245.719510165                                  8733.93252394044                                  5.146336807741247E8
0.07615230460921843                               0.9191259306621054                                0.8659466797009835                                0.9295458361277383                                8.7989217492681093E18                             0.9270834306920526                                4.281322838699186                                 117816.37491854366                                8763.538607239461                                 5.181285810124914E8
0.08016032064128256                               0.9168524406326883                                0.8647179971296305                                0.9291156319385467                                9.866995790187524E18                              0.925077194436075                                 4.493266880891413                                 122355.91432176513                                8997.5292335388                                   5.461665191997659E8
0.08416833667334668                               0.9152833702716315                                0.8585375356339995                                0.9271063499341581                                7.4593931145995612E18                             0.9229872728504653                                5.730164653423266                                 111567.08575198596                                8436.892848248197                                 4.802237202416703E8
0.08817635270541081                               0.9132880427719521                                0.8502441599819356                                0.9244217154838675                                5.0672537675497206E18                             0.9207487420930032                                7.9434551990398585                                98201.67860678435                                 7718.953771893311                                 4.019716467034978E8
0.09218436873747494                               0.9105917859743657                                0.8407591303887436                                0.9213400711452402                                3.3655789361604992E18                             0.9182903086355423                                11.545774040241826                                85797.30834227406                                 7025.617137397324                                 3.3300250403974336E8
0.09619238476953906                               0.9078263896830931                                0.8318140257006942                                0.9184328301674423                                2.3331039058965304E18                             0.9157268038578497                                16.43536043575866                                 76026.00715707082                                 6457.814533874214                                 2.813517864996933E8
0.1002004008016032                                0.905173087281563                                 0.8228591391778433                                0.9155271205696027                                1.5986954432761495E18                             0.9131255073677886                                23.414639412127404                                67109.90573420918                                 5920.070096931078                                 2.364461457417949E8
